"Product ID","Name","UPC/PLU","Modifier","Department","Department Code","Retail Price","Unit Cost","In Stock","Taxable Override","Foodstampable Override","Fractional Override","Tags","Price Level 1","Price Level 2","Price Level 3","Price Level 4","Price Level 5","Price Level 6","Price Level 7","Price Level 8","Price Level 9","Linked Product"
"35351292","V Neck Shirt Black 4xl","00011711165971","0","Shirt","20","$8.00",,"0",,,,,,,,,,,,,,
"35351291","V Neck Shirt Black 5 Xl","00011711165988","0","Shirt","20","$8.00",,"0",,,,,,,,,,,,,,
"35351732","V Neck Shirt White Small","00011711166008","0","Shirt","20","$8.00",,"0",,,,,,,,,,,,,,
"35351685","V Neck Shirt White M","00011711166015","0","Shirt","20","$8.00",,"0",,,,,,,,,,,,,,
"35352173","V Neck Shirt White Large","00011711166022","0","Shirt","20","$8.00",,"0",,,,,,,,,,,,,,
"35352817","V Neck Shirt White 2xl","00011711166039","0","Shirt","20","$8.00",,"0",,,,,,,,,,,,,,
"35351286","V Neck Shirt White 3xl","00011711166046","0","Shirt","20","$8.00",,"0",,,,,,,,,,,,,,
"35351285","V Neck Shirt White 5xl","00011711166060","0","Shirt","20","$8.00",,"0",,,,,,,,,,,,,,
"41090858","COTTON NECK WHITE V NECK 6XL","00011711166077","0","Household","6","$8.00",,"0",,,,,,,,,,,,,,
"35351816","V Neck Shirt White Xl","00011711166084","0","Shirt","20","$8.00",,"0",,,,,,,,,,,,,,
"35352552","T-shirt Round Neck Black Cotton Net 100%","00011711166800","0","Shirt","20","$7.50",,"0",,,,,,,,,,,,,,
"35352789","T-shirt Round Neck Black Cotton Net 100%","00011711166817","0","Shirt","20","$7.50",,"0",,,,,,,,,,,,,,
"35352287","T-shirt Round Neck Black Cotton Net 100%","00011711166824","0","Shirt","20","$7.50",,"0",,,,,,,,,,,,,,
"35352267","T-shirt Round Neck Black Cotton Net 100%","00011711166831","0","Shirt","20","$7.50",,"0",,,,,,,,,,,,,,
"35351908","T-shirt Round Neck White Cotton Net 100%","00011711166848","0","Shirt","20","$7.50",,"0",,,,,,,,,,,,,,
"35352358","T-shirt Round Neck White Cotton Net 100%","00011711166855","0","Shirt","20","$7.50",,"0",,,,,,,,,,,,,,
"35352681","T-shirt Round Neck White Cotton Net 100%","00011711166862","0","Household","6","$7.50",,"0",,,,,,,,,,,,,,
"35352768","T-shirt Round Neck White Cotton Net 100%","00011711166879","0","Shirt","20","$7.50",,"0",,,,,,,,,,,,,,
"35350876","Small","00011711167166","0","Grocery Non-taxable","3","$6.00",,"0",,,,,,,,,,,,,,
"35351779","A Shirt","00011711167173","0","Household","6","$6.00",,"0",,,,"MPF USA",,,,,,,,,,
"35350789","Cotton Net","00011711167180","0","Household","6","$6.00",,"0",,,,,,,,,,,,,,
"35351231","T Sh Xl","00011711167197","0","Household","6","$5.00",,"0",,,,,,,,,,,,,,
"35350664","T Shirt","00011711167203","0","Household","6","$6.00",,"0",,,,,,,,,,,,,,
"35351019","Shirts","00011711167210","0","Household","6","$6.00",,"0",,,,,,,,,,,,,,
"35372786","4 Xl","00011711167227","0","Grocery Non-taxable","3","$6.00",,"0",,,,"MPF USA",,,,,,,,,,
"35352295","A Shirt","00011711167234","0","Household","6","$6.00",,"0",,,,"MPF USA",,,,,,,,,,
"35352662","Cottonnet","00011711167241","0","Household","6","$5.00",,"0",,,,,,,,,,,,,,
"35351632","Shirts","00011711167258","0","Shirt","20","$6.00",,"0",,,,,,,,,,,,,,
"35351236","Me 'S Asnirt","00011711167265","0","Household","6","$7.00",,"0",,,,,,,,,,,,,,
"35351661","T Top","00011711167272","0","Household","6","$6.00",,"0",,,,,,,,,,,,,,
"35350752","Tank Top","00011711167289","0","Household","6","$6.00",,"0",,,,,,,,,,,,,,
"35352818","Long White Socks","00011711167371","0","Gen Merch","10","$4.00",,"0",,,,,,,,,,,,,,
"35351146","Cotton Black Socks Long","00011711167388","0","Grocery Non-taxable","3","$3.99",,"0",,,,,,,,,,,,,,
"35351511","Socks","00011711167395","0","Household","6","$4.00",,"0",,,,,,,,,,,,,,
"35351571","Socks","00011711167401","0","Household","6","$4.00",,"0",,,,,,,,,,,,,,
"35351116","T Shirt","00011711167500","0","Household","6","$7.28",,"0",,,,,,,,,,,,,,
"39344959","TSHIRTS","00011711167548","0","Grocery Non-taxable","3","$7.50",,"0",,,,,,,,,,,,,,
"35350585","Tshort","00011711167715","0","Grocery Non-taxable","3","$7.00",,"0",,,,,,,,,,,,,,
"35352889","V Neck Shirt Black 6xl","00011711167777","0","Shirt","20","$8.00",,"0",,,,,,,,,,,,,,
"35352489","Pepsi Can 12 Fl Oz","00012000000133","0","Soda/Energy Beverages","19","$1.75",,"0",,,,,,,,,,,,,,
"35352832","Mtn Dew 12 Fl Oz","00012000000850","0","Soda/Energy Beverages","19","$1.75",,"0",,,,,,,,,,,,,,
"35352328","Aquafina","00012000001086","0","Drinks","8","$1.25",,"0",,,,"Sams Club",,,,,,,,,,
"35350521","Dew","00012000001314","0","Soda/Energy Beverages","19","$2.34",,"0",,,,,,,,,,,,,,
"35351496","Aquafina Purified Water 20 Fl Oz","00012000001598","0","Drinks","8","$1.25",,"0",,,,"Sams Club",,,,,,,,,,
"40842574","Starbucks Doubleshot Espresso 6.5Oz","00012000001772","0","Soda/Energy Beverages","19","$3.75",,"0",,,,,,,,,,,,,,
"35351222","Starbucks Frappuccino Original 13.7 FL","00012000001802","0","Soda/Energy Beverages","19","$4.20",,"0",,,,,,,,,,,,,,
"35352711","Pepsi Bottle 2 ltr","00012000002304","0","Soda/Energy Beverages","19","$3.99",,"0",,,,,,,,,,,,,,
"35352366","Dew 2l","00012000002335","0","Soda/Energy Beverages","19","$3.99",,"0",,,,,,,,,,,,,,
"42553905","Pepsi Cola Wild Cherry","00012000003103","0","Soda/Energy Beverages","19","$1.75",,"0",,,,,,,,,,,,,,
"35352297","Pepsi Wild Cherry 2l","00012000003110","0","Soda/Energy Beverages","19","$3.75",,"0",,,,,,,,,,,,,,
"35352520","Starbucks","00012000004100","0","Soda/Energy Beverages","19","$2.34",,"0",,,,,,,,,,,,,,
"35351063","Starbuck Frappuccino Mocha 13.7 FL OZ","00012000004520","0","Drinks","8","$4.20","$0.00","0",,,,,,,,,,,,,,
"35350524","Starbucks","00012000006494","0","Soda/Energy Beverages","19","$2.38",,"0",,,,,,,,,,,,,,
"35351893","Brisk:iced Tea - Lemon 12 Oz","00012000007590","0","Drinks","8","$1.17",,"0",,,,,,,,,,,,,,
"35351346","Pepsi: Diet 12 Oz","00012000008054","0","Soda/Energy Beverages","19","$1.17",,"0",,,,,,,,,,,,,,
"40839821","Aquafina Water Case 32pks","00012000013119","0","Drinks","8","$12.00",,"0",,,,"Sams Club",,,,,,,,,,
"35351327","Starbucks Frappuccino Caramel 13.7 Onz.","00012000016721","0","Soda/Energy Beverages","19","$3.64",,"0",,,,,,,,,,,,,,
"35351677","Pepsi Zero Sugar Can 12 Fl Oz","00012000018770","0","Soda/Energy Beverages","19","$1.17",,"0",,,,,,,,,,,,,,
"35351824","Lipton:green Tea Citrus 16.9 Oz","00012000019258","0","Drinks","8","$1.80",,"0",,,,,,,,,,,,,,
"35350646","Ocean Spray:cranberry Juice Cocktail 15.","00012000021367","0","Grocery Non-taxable","3","$2.30",,"0",,,,,,,,,,,,,,
"35350586","Ocean Spray:crangrape 15.20 Oz","00012000021381","0","Grocery Non-taxable","3","$1.50",,"0",,,,,,,,,,,,,,
"35351101","Mtn Dew 16 Fl Oz","00012000027215","0","Soda/Energy Beverages","19","$2.10",,"0",,,,,,,,,,,,,,
"35351664","Pepsi:zero Sugar 16.9 Oz","00012000031960","0","Soda/Energy Beverages","19","$2.25",,"0",,,,,,,,,,,,,,
"35350735","Brisk Half Lemonade 1","00012000034015","0","Drinks","8","$1.50",,"0",,,,,,,,,,,,,,
"35352203","Starbucks Frappuccino Pumpkin Spice (9.5","00012000045356","0","Soda/Energy Beverages","19","$2.34",,"0",,,,,,,,,,,,,,
